"tweet_id","timestamp","source","text","expanded_urls","rating_numerator","rating_denominator","name","dog_stage","jpg_url","breed","confidence","retweet_count","favorite_count"
"874012996292530176","2017-06-11 21:18:31.000000","Twitter for iPhone","This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy.","https://twitter.com/dog_rates/status/874012996292530176/photo/1,https://twitter.com/dog_rates/status/874012996292530176/photo/1","13.0","10","Sebastian","puppo","https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg","Cardigan","0.806674","9258","31923"
"873580283840344065","2017-06-10 16:39:04.000000","Twitter for iPhone","We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too.","https://twitter.com/dog_rates/status/873580283840344065/photo/1","13.0","10","","","https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg","Newfoundland","0.678537","3570","22599"
"872967104147763200","2017-06-09 00:02:31.000000","Twitter for iPhone","Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad.","https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1","12.0","10","","doggo","https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg","Labrador_retriever","0.476913","4913","25442"
"872820683541237760","2017-06-08 14:20:41.000000","Twitter for iPhone","Most voted for a more consistent walking schedule and to increase daily pats tenfold. All","https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1","13.0","10","","","https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg","pug","0.99912","3375","13755"
"872620804844003328","2017-06-08 01:06:27.000000","Twitter for iPhone","This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana.","https://twitter.com/dog_rates/status/872620804844003328/photo/1","13.0","10","Monkey","","https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg","cocker_spaniel","0.513191","3311","19373"
"872486979161796608","2017-06-07 16:14:40.000000","Twitter for iPhone","We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys...","https://twitter.com/dog_rates/status/872486979161796608/photo/1","12.0","10","","","https://pbs.twimg.com/media/DBuyRlTUwAAYhG9.jpg","Pembroke","0.931861","8226","38090"
"872122724285648897","2017-06-06 16:07:15.000000","Twitter for iPhone","This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still","https://twitter.com/dog_rates/status/872122724285648897/photo/1,https://twitter.com/dog_rates/status/872122724285648897/photo/1","12.0","10","Kody","","https://pbs.twimg.com/media/DBpm-5UXcAUeCru.jpg","","","7359","32032"
"871879754684805121","2017-06-06 00:01:46.000000","Twitter for iPhone","Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner.","https://twitter.com/dog_rates/status/871879754684805121/photo/1,https://twitter.com/dog_rates/status/871879754684805121/photo/1","13.0","10","Lassie","","https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg","Shetland_sheepdog","0.969171","9962","35121"
"871762521631449091","2017-06-05 16:15:56.000000","Twitter for iPhone","This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter.","https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1","12.0","10","Rover","pupper","https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg","Labrador_retriever","0.921393","3173","18903"
"871515927908634625","2017-06-04 23:56:03.000000","Twitter for iPhone","This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids.","https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1","12.0","10","Napolean","doggo","https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg","komondor","0.974781","3166","18882"
